Year,Subtopic,Count
1980,"""4902 Mathematical Physics""",1
1980,"""5106 Nuclear and Plasma Physics""",1
1985,"""3004 Crop and Pasture Production""",1
1985,"""3008 Horticultural Production""",1
1986,"""3101 Biochemistry and Cell Biology""",3
1986,"""3106 Industrial Biotechnology""",4
1986,"""3108 Plant Biology""",1
1986,"""4002 Automotive Engineering""",1
1986,"""4017 Mechanical Engineering""",1
1987,"""3101 Biochemistry and Cell Biology""",1
1987,"""3705 Geology""",2
1987,"""3708 Oceanography""",1
1987,"""3709 Physical Geography and Environmental Geoscience""",4
1988,"""3101 Biochemistry and Cell Biology""",1
1988,"""3403 Macromolecular and Materials Chemistry""",1
1988,"""3705 Geology""",2
1988,"""3709 Physical Geography and Environmental Geoscience""",2
1988,"""4016 Materials Engineering""",1
1988,"""4407 Policy and Administration""",1
1988,"""4702 Cultural Studies""",1
1989,"""4012 Fluid Mechanics and Thermal Engineering""",1
1989,"""4904 Pure Mathematics""",1
1989,"""5106 Nuclear and Plasma Physics""",1
1990,"""3106 Industrial Biotechnology""",1
1990,"""3303 Design""",1
1990,"""3709 Physical Geography and Environmental Geoscience""",1
1990,"""4002 Automotive Engineering""",1
1990,"""4004 Chemical Engineering""",1
1990,"""4005 Civil Engineering""",1
1990,"""4010 Engineering Practice and Education""",1
1990,"""4017 Mechanical Engineering""",1
1990,"""4605 Data Management and Data Science""",1
1991,"""3101 Biochemistry and Cell Biology""",2
1991,"""3102 Bioinformatics and Computational Biology""",1
1991,"""3105 Genetics""",1
1991,"""4014 Manufacturing Engineering""",1
1991,"""4016 Materials Engineering""",1
1992,"""3005 Fisheries Sciences""",1
1992,"""3403 Macromolecular and Materials Chemistry""",2
1992,"""3509 Transportation, Logistics and Supply Chains""",1
1992,"""4005 Civil Engineering""",1
1992,"""4012 Fluid Mechanics and Thermal Engineering""",1
1992,"""4016 Materials Engineering""",2
1992,"""4601 Applied Computing""",1
1992,"""4606 Distributed Computing and Systems Software""",1
1993,"""3004 Crop and Pasture Production""",1
1993,"""3101 Biochemistry and Cell Biology""",2
1993,"""3105 Genetics""",1
1993,"""3106 Industrial Biotechnology""",2
1993,"""3202 Clinical Sciences""",1
1993,"""3303 Design""",1
1993,"""3403 Macromolecular and Materials Chemistry""",2
1993,"""3404 Medicinal and Biomolecular Chemistry""",1
1993,"""3703 Geochemistry""",1
1993,"""3705 Geology""",2
1993,"""3706 Geophysics""",2
1993,"""4001 Aerospace Engineering""",1
1993,"""4002 Automotive Engineering""",2
1993,"""4004 Chemical Engineering""",1
1993,"""4012 Fluid Mechanics and Thermal Engineering""",2
1993,"""4016 Materials Engineering""",2
1993,"""4017 Mechanical Engineering""",2
1993,"""4104 Environmental Management""",1
1993,"""4601 Applied Computing""",1
1993,"""5002 History and Philosophy Of Specific Fields""",1
1993,"""5106 Nuclear and Plasma Physics""",1
1994,"""3007 Forestry Sciences""",2
1994,"""3101 Biochemistry and Cell Biology""",1
1994,"""3102 Bioinformatics and Computational Biology""",1
1994,"""3103 Ecology""",1
1994,"""3105 Genetics""",1
1994,"""3301 Architecture""",1
1994,"""3302 Building""",1
1994,"""3403 Macromolecular and Materials Chemistry""",1
1994,"""3406 Physical Chemistry""",1
1994,"""3509 Transportation, Logistics and Supply Chains""",1
1994,"""3705 Geology""",1
1994,"""3706 Geophysics""",1
1994,"""3707 Hydrology""",1
1994,"""4001 Aerospace Engineering""",1
1994,"""4002 Automotive Engineering""",3
1994,"""4005 Civil Engineering""",3
1994,"""4007 Control Engineering, Mechatronics and Robotics""",1
1994,"""4013 Geomatic Engineering""",2
1994,"""4016 Materials Engineering""",1
1994,"""4017 Mechanical Engineering""",3
1994,"""4102 Ecological Applications""",1
1994,"""4105 Pollution and Contamination""",1
1994,"""4106 Soil Sciences""",1
1994,"""4408 Political Science""",1
1994,"""5102 Atomic, Molecular and Optical Physics""",1
1995,"""3004 Crop and Pasture Production""",1
1995,"""3204 Immunology""",1
1995,"""3206 Medical Biotechnology""",1
1995,"""3302 Building""",1
1995,"""3802 Econometrics""",1
1995,"""4007 Control Engineering, Mechatronics and Robotics""",1
1995,"""4010 Engineering Practice and Education""",1
1995,"""4106 Soil Sciences""",1
1995,"""5003 Philosophy""",1
1995,"""5102 Atomic, Molecular and Optical Physics""",1
1996,"""3005 Fisheries Sciences""",1
1996,"""3006 Food Sciences""",1
1996,"""3101 Biochemistry and Cell Biology""",3
1996,"""3102 Bioinformatics and Computational Biology""",1
1996,"""3103 Ecology""",1
1996,"""3105 Genetics""",2
1996,"""3106 Industrial Biotechnology""",3
1996,"""3202 Clinical Sciences""",1
1996,"""3211 Oncology and Carcinogenesis""",2
1996,"""3213 Paediatrics""",1
1996,"""3302 Building""",1
1996,"""3304 Urban and Regional Planning""",1
1996,"""3403 Macromolecular and Materials Chemistry""",1
1996,"""3507 Strategy, Management and Organisational Behaviour""",1
1996,"""3509 Transportation, Logistics and Supply Chains""",1
1996,"""3705 Geology""",1
1996,"""3709 Physical Geography and Environmental Geoscience""",1
1996,"""3801 Applied Economics""",1
1996,"""3803 Economic Theory""",1
1996,"""4004 Chemical Engineering""",1
1996,"""4014 Manufacturing Engineering""",1
1996,"""4015 Maritime Engineering""",1
1996,"""4016 Materials Engineering""",1
1996,"""4102 Ecological Applications""",1
1996,"""4606 Distributed Computing and Systems Software""",1
1997,"""3001 Agricultural Biotechnology""",1
1997,"""3004 Crop and Pasture Production""",1
1997,"""3101 Biochemistry and Cell Biology""",2
1997,"""3102 Bioinformatics and Computational Biology""",2
1997,"""3108 Plant Biology""",1
1997,"""3204 Immunology""",2
1997,"""3207 Medical Microbiology""",1
1997,"""3211 Oncology and Carcinogenesis""",1
1997,"""3302 Building""",2
1997,"""3403 Macromolecular and Materials Chemistry""",1
1997,"""3707 Hydrology""",1
1997,"""4004 Chemical Engineering""",1
1997,"""4005 Civil Engineering""",3
1997,"""4016 Materials Engineering""",1
1997,"""4206 Public Health""",1
1997,"""4610 Library and Information Studies""",1
1997,"""4904 Pure Mathematics""",1
1997,"""5003 Philosophy""",1
1998,"""3006 Food Sciences""",1
1998,"""3101 Biochemistry and Cell Biology""",3
1998,"""3103 Ecology""",1
1998,"""3105 Genetics""",1
1998,"""3204 Immunology""",2
1998,"""3215 Reproductive Medicine""",1
1998,"""3402 Inorganic Chemistry""",1
1998,"""3403 Macromolecular and Materials Chemistry""",1
1998,"""3705 Geology""",1
1998,"""3707 Hydrology""",1
1998,"""4001 Aerospace Engineering""",1
1998,"""4003 Biomedical Engineering""",2
1998,"""4005 Civil Engineering""",1
1998,"""4009 Electronics, Sensors and Digital Hardware""",1
1998,"""4014 Manufacturing Engineering""",1
1998,"""4103 Environmental Biotechnology""",1
1998,"""4104 Environmental Management""",1
1998,"""4407 Policy and Administration""",1
1998,"""5003 Philosophy""",1
1998,"""5104 Condensed Matter Physics""",2
1999,"""3002 Agriculture, Land and Farm Management""",1
1999,"""3006 Food Sciences""",1
1999,"""3008 Horticultural Production""",1
1999,"""3009 Veterinary Sciences""",2
1999,"""3101 Biochemistry and Cell Biology""",11
1999,"""3102 Bioinformatics and Computational Biology""",1
1999,"""3103 Ecology""",1
1999,"""3105 Genetics""",7
1999,"""3106 Industrial Biotechnology""",1
1999,"""3107 Microbiology""",5
1999,"""3108 Plant Biology""",1
1999,"""3201 Cardiovascular Medicine and Haematology""",1
1999,"""3202 Clinical Sciences""",1
1999,"""3203 Dentistry""",1
1999,"""3204 Immunology""",1
1999,"""3206 Medical Biotechnology""",1
1999,"""3209 Neurosciences""",1
1999,"""3211 Oncology and Carcinogenesis""",4
1999,"""3214 Pharmacology and Pharmaceutical Sciences""",2
1999,"""3301 Architecture""",1
1999,"""3302 Building""",3
1999,"""3303 Design""",1
1999,"""3402 Inorganic Chemistry""",1
1999,"""3403 Macromolecular and Materials Chemistry""",1
1999,"""3404 Medicinal and Biomolecular Chemistry""",1
1999,"""3405 Organic Chemistry""",1
1999,"""3406 Physical Chemistry""",3
1999,"""3407 Theoretical and Computational Chemistry""",2
1999,"""3502 Banking, Finance and Investment""",2
1999,"""3507 Strategy, Management and Organisational Behaviour""",2
1999,"""3601 Art History, Theory and Criticism""",1
1999,"""3705 Geology""",2
1999,"""3707 Hydrology""",1
1999,"""3801 Applied Economics""",1
1999,"""3901 Curriculum and Pedagogy""",1
1999,"""4001 Aerospace Engineering""",1
1999,"""4002 Automotive Engineering""",1
1999,"""4003 Biomedical Engineering""",1
1999,"""4004 Chemical Engineering""",1
1999,"""4005 Civil Engineering""",2
1999,"""4006 Communications Engineering""",1
1999,"""4007 Control Engineering, Mechatronics and Robotics""",1
1999,"""4010 Engineering Practice and Education""",1
1999,"""4011 Environmental Engineering""",2
1999,"""4014 Manufacturing Engineering""",3
1999,"""4015 Maritime Engineering""",1
1999,"""4016 Materials Engineering""",3
1999,"""4017 Mechanical Engineering""",1
1999,"""4103 Environmental Biotechnology""",1
1999,"""4104 Environmental Management""",1
1999,"""4106 Soil Sciences""",1
1999,"""4201 Allied Health and Rehabilitation Science""",1
1999,"""4203 Health Services and Systems""",2
1999,"""4302 Heritage, Archive and Museum Studies""",1
1999,"""4303 Historical Studies""",5
1999,"""4403 Demography""",1
1999,"""4404 Development Studies""",1
1999,"""4406 Human Geography""",1
1999,"""4407 Policy and Administration""",2
1999,"""4408 Political Science""",4
1999,"""4602 Artificial Intelligence""",1
1999,"""4606 Distributed Computing and Systems Software""",1
1999,"""4609 Information Systems""",2
1999,"""4612 Software Engineering""",1
